"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15574598476.6862","17245520643.2291","17917521321.6146","20581045030.1092","22424961488.8734","26245650255.5204","27794819534.0289","33933107839.02","37286995650.4191","40732326490.1427","",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","16791799112.4281","17647942135.8288","19600050849.4294","21418421622.611","22313596736.9551","23090378063.9962","23588571108.8857","22423529870.1051","17255100491.5357","18222643617.8673","20585829051.9112","23296786997.3171","25621820800.3258","27749765912.2979","29068878507.7081","30592371679.8258","32268923103.1724","37544808796.2501","39603930373.9722","45270714639.7965","55314910085.9665","68938922228.9159","86964531784.8257","101169309717.61","104521059227.686","109528606420.819","116242139150.127","127117592517.609",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","5410130790.50854","6257167503.92527","6834142759.88577","7182969275.21363","7359461591.61132","7719264265.71313","8336748393.0809","8513404530.1878","8684768698.30295","9898138793.80292","9289776967.34519","6763312581.78627","6408554771.9047","7177764279.57098","7931789635.75535","9195789138.33273","10210256077.616","9345563375.99616","10680414813.6583","11931560264.8516","13079576763.4997","14312430394.6236","14966648189.3217","16152985625.2698","17586936330.7142","19170081100.1742","21452967338.3199","22753482299.314","26020495867.7686","27373383310.2892","27656292515.196","28513433518.4743","29860403381.1996",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","488714156509.662","549514287776.045","566633438402.765","585454000037.563","620782058492.063","643376372964.023","664315024986.639","686598709943.799","735713846700.528","788276802634.779","874852513537.599","948795700907.625","1010037157058.08","1058253428783.39","1116838209351.92","1176613377911.73","1253308435612.23","1323677776588.6","1411102245048.33","1478844466381.99","1577771926145.06","1644793218714.18","1702875499494.76","1812152836401.48","2016110763202.1","2200429161468.78","2412865845835.94","2622085604489.99","2848384712304.63","2949110586057.16","3127051687671.37","3336538246827.91","3536020843218.55",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","59807154092.5004","68460176929.3564","67750978566.1552","67088364634.7871","72404119773.4888","71933280552.8171","62541221822.5346","66550741166.0441","67064684401.3711","78175119984.9778","96011296159.3092","100127943193.118","105656737792.297","109334888305.739","119254386495.562","130189926289.33","140177844398.783","154582602326.536","157211966127.125","164146684956.293","185898180153.316","192772506058.444","200670119869.553","222929238939.002","251122713584.962","272055195562.896","308651368047.428","327804775308.984","346092477562.486","343515185177.13","341784681148.818","362599085012.377","387372469980.978",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","135325141628.685","139587321828.302","140750883405.602","151988341453.975","161184453764.704","153504958828.966","169297320403.932","179328499968.057","180828438902.386","173570038354.651","175831027386.527","204840740080.194","234130131456.133","253396249215.312","273645280480.212","272044586613.436","292163045802.552","321949586390.861","339042262753.645","332367186865.822","336879592493.026","329327771288.337","298214480872.513","331404745214.97","371487717896.126","419048869228.599","469188727888.604","","","","","","",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7521217352.25791","6866928035.44851","4080732479.22628","3803220505.74566","4090210576.15412","4474157549.96768","4820456837.51821","5076561480.78551","5523674641.2992","5789622012.44909","6263872380.72789","7018067323.50088","8072483818.51907","9399844922.27455","10675739867.3441","12559496967.7725","14675740831.3623","17177502358.6914","18768814149.9284","16254645149.8893","16817401571.5252","17989349183.8912","19730184672.4339",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","239939154.519174","273143901.381644","290270776.480692","315869677.691164","359698596.960671","400302417.737115","461307692.253627","514059196.46148","560802468.793178","615506523.435101","655109483.397168","691166731.606351","711710824.652464","766517252.365464","831613605.755668","815417560.480049","885785065.9259","946973340.381047","1002602722.03364","1059233078.40651","1143627502.017","1133064233.3578","1184799035.31064","1289409518.54618","1390784848.02639","1524816381.23205","1777270600.1949","2002511988.2711","2048249969.05262","1817557493.22766","1710306562.09716","1697522328.86006","1778166502.12961",
"Australia","AUS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","134954924559.43","151922149218.89","166064151750.648","171206040269.756","188999074509.332","203728299524.607","216974266765.391","228512975657.53","247319511643.195","270472547832.531","294536405716.519","307206329741.012","318117197993.916","336577946239.441","356989874736.624","377805191886.614","402385330485.334","424483468622.39","453416760119.448","479219707775.936","503196095983.845","531434540450.586","564873723313.727","592747183279.907","630571611201.516","663352296740.922","706742895892.569","761065046328.145","794633684250.361","872942460163.444","862588352221.343","940263659082.1","1011639399650.46",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","78352442300.2896","85572257378.0369","92611924915.8817","99137563525.0763","102913612126.245","108706561737.342","113694912666.118","118616860352.184","126760388607.989","136674806623.53","148128642030.166","158657442738.624","165825735389.979","170358571914.257","178099989806.94","186645664946.409","193904556022.03","199209151383.497","209079030071.94","217281536106.108","231572537652.888","233509722641.781","246208618963.279","254349494625.041","268411651368.624","276672160743.033","302093862522.348","315872471102.778","331667258770.778","325304773806.549","338956762514.683","355245378484.805","374105613095.901",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24579791234.0904","25237195041.8372","19945030704.6921","15673990755.1109","12842473272.8006","11590579832.1496","11949163060.8205","12885927131.1377","14373650271.5597","15663656652.24","17778861376.0827","19981935601.1459","22458899394.1686","25500372595.0024","28891463741.4149","37730965491.5168","52385274479.7407","67406390444.3744","76337853465.639","84170597084.3198","89561389923.7786","92381515295.1757","98775705515.4906",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","1191616541.93999","1461822941.4245","1534548453.56076","1654516644.26874","1719325429.99198","1980611148.86835","2090709849.68313","2270390977.57568","2467655904.41468","2595103147.3539","2787793064.52616","3026567700.80418","3121529341.51084","2990911464.5369","2934923005.61664","2765348878.5643","2589170421.74539","2597122200.46885","2758704185.20372","2770883443.7214","2806581378.59446","2929215205.55194","3109145452.67082","3135789778.72171","3379785231.2958","3523396911.73289","3832904321.50959","4132778875.59441","4437410025.40126","4631670996.78924","4871325911.88617","5183497385.10406","5518442237.28195",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","100793519612.038","109932363785.522","117324237158.433","122345370789.912","130071125444.783","136257561472.364","141843426225.041","149370227166.258","161830776974.701","173786269074.29","186169232931.289","196301143046.47","204039053022.906","206512277764.26","217635643670.516","227449145283.267","231717804167.763","242631393743.166","248656244520.222","259291443431.538","283448337364.433","293364588669.548","310462809934.262","314342224692.023","324901245495.301","337299884075.598","360663522193.811","378655046726.167","396534888505.826","394813692463.615","412159121560.379","426929722669.565","443327306989.798",
